#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,ack,"Better grep"
,acpi,
,acpi_call,"System power calls"
,arandr,"Screen manager"
,blueman,"Bluetooth"
,bluez,"Bluetooth"
,bluez-hid2hci,"Bluetooth"
,bluez-utils,"Bluetooth"
,code,"VSCode"
,curl,"cURL"
,dhclient,"DHCP client"
,dive,"Docker container inspection tool"
,docker,"Docker"
,docker-compose,"Docker compose"
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,fzf,"is a fuzzy finder tool."
,gcc,"GNU compiler"
,gdb,"GNU debugger"
,gimp,"GNU Image Processor"
,glances,"Prettier full system htop"
,go,"Golang"
,gopls,"Golang language server"
,httpie,"Command line http client"
,i3-gaps,"i3 WM"
,i3lock-color,"i3 lock"
,inetutils,"network tools"
,intel-media-driver,"Intel graphics"
,intel-ucode,"Intel microcode"
,iwd,"Wireless network"
,jq,"json tool"
,kitty,"Terminal emulator"
,libnotify,"allows desktop notifications."
,lightdm,"display manager"
,lightdm-webkit2-greeter,"Login screen"
,make,"Makefiles"
,man-db,"lets you read man pages of programs."
,mediainfo,"shows audio and video information."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neofetch,"Rice viewer"
,neovim,"a tidier vim with some useful features"
,networkmanager,"Network Manager"
,network-manager-applet,"Network status applet"
,nmap,"Network mapping tool"
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,openssh,"SSH"
,pacman-contrib,"Pacman stuff"
,pamixer,"is a command-line audio interface."
,powerline-fonts,"Fonts for terminal statusbar"
,pulseaudio-alsa,"is the audio system."
,pulseaudio-bluetooth,
,pulsemixer,"is an audio controller."
,python-pip,"PIP"
,redshift,"Screen color temp"
,refind,"EFI Bootloader"
,reflector,"Keep mirror list up to date"
,rofi,"Application launcher"
,scrot,"Screenshot"
,sudo,"Super user privileges"
,sxiv,"is a minimalist image viewer."
,thermald,"Thermal stuff"
,tlp,"Thermal stuff"
,tmux,"screen multiplexer"
,tree,"Tree"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,vivaldi,"Web browser with panels"
,vivaldi-ffmpeg-codecs,"Vivaldi video codecs"
,whois,"Network whois tool"
,xautolock,"Automatic screen locking"
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xf86-video-intel,"Intel video stuff"
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xwallpaper,"sets the wallpaper."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zip,
,zsh-theme-powerlevel10k-git,
A,lf,"is an extensive terminal file manager that everyone likes."
A,polybar,"statusbar"
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
